SKU,Nombre,Descripción,Costo producción lote (USD),# Ingredientes,Duración esperada (hrs),Equivalencia unidades bodega,Unidad,Lote producción,Tiempo esperado producción (mins),Grupos Productores,Total Grupos Productores,Producción
CLJETA1,Galón de Combustible JET-A1 (ubicado en Chile),Combustible exclusivamente para uso aeronáutico para aviones a turbinas. Este producto es además el combustible para turbinas más usado en el mundo,21.0,-,5,1,-,4,4,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
USJETA1,Galón de Combustible JET-A1 (ubicado en United States),Combustible exclusivamente para uso aeronáutico para aviones a turbinas. Este producto es además el combustible para turbinas más usado en el mundo,42.0,-,5,1,-,8,4,"['2', '4', '6', '8', '10', '12']",6,materia prima
FRJETA1,Galón de Combustible JET-A1 (ubicado en France),Combustible exclusivamente para uso aeronáutico para aviones a turbinas. Este producto es además el combustible para turbinas más usado en el mundo,21.0,-,5,1,-,4,4,"['1', '3', '5', '7', '9', '11']",6,materia prima
AUJETA1,Galón de Combustible JET-A1 (ubicado en Australia),Combustible exclusivamente para uso aeronáutico para aviones a turbinas. Este producto es además el combustible para turbinas más usado en el mundo,21.0,-,5,1,-,4,4,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
CHJETA1,Galón de Combustible JET-A1 (ubicado en China),Combustible exclusivamente para uso aeronáutico para aviones a turbinas. Este producto es además el combustible para turbinas más usado en el mundo,31.5,-,5,1,-,6,4,"['1', '3', '5', '7', '9', '11']",6,materia prima
MRJETA1,Galón de Combustible JET-A1 (ubicado en Morocco),Combustible exclusivamente para uso aeronáutico para aviones a turbinas. Este producto es además el combustible para turbinas más usado en el mundo,31.5,-,5,1,-,6,4,"['2', '4', '6', '8', '10', '12']",6,materia prima
CLCREW,Personal de vuelo (ubicado en Chile),Miembro de la tripulación que tiene como misión principal la vigilancia de la seguridad del vuelo y la comodidad de los pasajeros,24.5,-,10,1,-,14,5,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
USCREW,Personal de vuelo (ubicado en United States),Miembro de la tripulación que tiene como misión principal la vigilancia de la seguridad del vuelo y la comodidad de los pasajeros,21.0,-,10,1,-,12,5,"['2', '4', '6', '8', '10', '12']",6,materia prima
FRCREW,Personal de vuelo (ubicado en France),Miembro de la tripulación que tiene como misión principal la vigilancia de la seguridad del vuelo y la comodidad de los pasajeros,21.0,-,10,1,-,12,5,"['1', '3', '5', '7', '9', '11']",6,materia prima
AUCREW,Personal de vuelo (ubicado en Australia),Miembro de la tripulación que tiene como misión principal la vigilancia de la seguridad del vuelo y la comodidad de los pasajeros,24.5,-,10,1,-,14,5,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
CHCREW,Personal de vuelo (ubicado en China),Miembro de la tripulación que tiene como misión principal la vigilancia de la seguridad del vuelo y la comodidad de los pasajeros,21.0,-,10,1,-,12,5,"['1', '3', '5', '7', '9', '11']",6,materia prima
MRCREW,Personal de vuelo (ubicado en Morocco),Miembro de la tripulación que tiene como misión principal la vigilancia de la seguridad del vuelo y la comodidad de los pasajeros,21.0,-,10,1,-,12,5,"['2', '4', '6', '8', '10', '12']",6,materia prima
CLBOE737,Boeing 737 (ubicado en Chile),El Boeing 737 es el de menor rango operativo. Oscila de 2000 a 4000 kilómetros de distancia. Posee un doble pasillo central de carga. Esta clase de avión transporta carga suelta de hasta dos toneladas. Suele ser usado para vuelos de corta distancia.,420,-,20,1,-,1,15,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
CLAB320,Airbus 320 (ubicado en Chile),el Airbus 320 es una aeronave mixta que transporta mercancía en su bodega. Su rango operativo va desde los 4000 a los 6000 km.,630,-,20,1,-,1,15,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
CLAB330,Airbus 330 (ubicado en Chile),el Airbus 330 es una aeronave mixta que transporta mercancía en su bodega. Su rango operativo va desde los 6000 a los 9000 km.,840,-,20,1,-,1,15,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
CLAB340,Airbus 340  (ubicado en Chile),El Airbus 340 es un avión de pasajeros cuya bodega es usada para el transporte de mercancía. Posee cuatro turbinas y un rango de desplazamiento de 9000 a 11000 kilómetros de distancia.,1050,-,20,1,-,1,15,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
CLBOE747,Boeing 747 (ubicado en Chile),El Boeing 747 estándar es uno de los aviones mixtos de mayor rango operativo. siendo éste de 13.300 kilómetros para el modelo 400. Posee bahías de carga para pallets en la parte delantera y posterior.,1260,-,20,1,-,1,15,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
CLNOV,Novato (ubicado en Chile),Piloto con menos de 30 horas de vuelo,73,-,20,1,-,2,10,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
CLINT,Intermedio (ubicado en Chile),Piloto con más de 50 horas de vuelo,98,-,20,1,-,2,10,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
CLEXP,Experto (ubicado en Chile),Piloto con más de 80 horas de vuelo,122,-,20,1,-,2,10,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
CLOFC,Oficial (ubicado en Chile),Piloto con más de 100 horas de vuelo,147,-,20,1,-,2,10,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
CLCPT,Capitán (ubicado en Chile),Piloto con más de 200 horas de vuelo,171,-,20,1,-,2,10,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
CLCMD,Comandante (ubicado en Chile),Piloto con más de 500 horas de vuelo,196,-,20,1,-,2,10,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
USBOE737,Boeing 737 (ubicado en United States),El Boeing 737 es el de menor rango operativo. Oscila de 2000 a 4000 kilómetros de distancia. Posee un doble pasillo central de carga. Esta clase de avión transporta carga suelta de hasta dos toneladas. Suele ser usado para vuelos de corta distancia.,840,-,20,1,-,1,15,"['2', '4', '6', '8', '10', '12']",6,materia prima
USAB320,Airbus 320 (ubicado en United States),el Airbus 320 es una aeronave mixta que transporta mercancía en su bodega. Su rango operativo va desde los 4000 a los 6000 km.,1260,-,20,1,-,1,15,"['2', '4', '6', '8', '10', '12']",6,materia prima
USAB330,Airbus 330 (ubicado en United States),el Airbus 330 es una aeronave mixta que transporta mercancía en su bodega. Su rango operativo va desde los 6000 a los 9000 km.,1680,-,20,1,-,1,15,"['2', '4', '6', '8', '10', '12']",6,materia prima
USAB340,Airbus 340  (ubicado en United States),El Airbus 340 es un avión de pasajeros cuya bodega es usada para el transporte de mercancía. Posee cuatro turbinas y un rango de desplazamiento de 9000 a 11000 kilómetros de distancia.,2100,-,20,1,-,1,15,"['2', '4', '6', '8', '10', '12']",6,materia prima
USBOE747,Boeing 747 (ubicado en United States),El Boeing 747 estándar es uno de los aviones mixtos de mayor rango operativo. siendo éste de 13.300 kilómetros para el modelo 400. Posee bahías de carga para pallets en la parte delantera y posterior.,2520,-,20,1,-,1,15,"['2', '4', '6', '8', '10', '12']",6,materia prima
USNOV,Novato (ubicado en United States),Piloto con menos de 30 horas de vuelo,63,-,20,1,-,2,10,"['2', '4', '6', '8', '10', '12']",6,materia prima
USINT,Intermedio (ubicado en United States),Piloto con más de 50 horas de vuelo,84,-,20,1,-,2,10,"['2', '4', '6', '8', '10', '12']",6,materia prima
USEXP,Experto (ubicado en United States),Piloto con más de 80 horas de vuelo,105,-,20,1,-,2,10,"['2', '4', '6', '8', '10', '12']",6,materia prima
USOFC,Oficial (ubicado en United States),Piloto con más de 100 horas de vuelo,126,-,20,1,-,2,10,"['2', '4', '6', '8', '10', '12']",6,materia prima
USCPT,Capitán (ubicado en United States),Piloto con más de 200 horas de vuelo,147,-,20,1,-,2,10,"['2', '4', '6', '8', '10', '12']",6,materia prima
USCMD,Comandante (ubicado en United States),Piloto con más de 500 horas de vuelo,168,-,20,1,-,2,10,"['2', '4', '6', '8', '10', '12']",6,materia prima
FRBOE737,Boeing 737 (ubicado en France),El Boeing 737 es el de menor rango operativo. Oscila de 2000 a 4000 kilómetros de distancia. Posee un doble pasillo central de carga. Esta clase de avión transporta carga suelta de hasta dos toneladas. Suele ser usado para vuelos de corta distancia.,420,-,20,1,-,1,15,"['1', '3', '5', '7', '9', '11']",6,materia prima
FRAB320,Airbus 320 (ubicado en France),el Airbus 320 es una aeronave mixta que transporta mercancía en su bodega. Su rango operativo va desde los 4000 a los 6000 km.,630,-,20,1,-,1,15,"['1', '3', '5', '7', '9', '11']",6,materia prima
FRAB330,Airbus 330 (ubicado en France),el Airbus 330 es una aeronave mixta que transporta mercancía en su bodega. Su rango operativo va desde los 6000 a los 9000 km.,840,-,20,1,-,1,15,"['1', '3', '5', '7', '9', '11']",6,materia prima
FRAB340,Airbus 340  (ubicado en France),El Airbus 340 es un avión de pasajeros cuya bodega es usada para el transporte de mercancía. Posee cuatro turbinas y un rango de desplazamiento de 9000 a 11000 kilómetros de distancia.,1050,-,20,1,-,1,15,"['1', '3', '5', '7', '9', '11']",6,materia prima
FRBOE747,Boeing 747 (ubicado en France),El Boeing 747 estándar es uno de los aviones mixtos de mayor rango operativo. siendo éste de 13.300 kilómetros para el modelo 400. Posee bahías de carga para pallets en la parte delantera y posterior.,1260,-,20,1,-,1,15,"['1', '3', '5', '7', '9', '11']",6,materia prima
FRNOV,Novato (ubicado en France),Piloto con menos de 30 horas de vuelo,63,-,20,1,-,2,10,"['1', '3', '5', '7', '9', '11']",6,materia prima
